model,lambda_ss,reproduction_factor,critical_R0,normalized_critical_density
hub,0.455000,0.545833333333,3.200000,5.862595
strong,0.460000,0.550000000000,4.500000,8.181818
hub,0.460000,0.550000000000,3.200000,5.818182
strong,0.465000,0.554166666667,4.500000,8.120301
hub,0.465000,0.554166666667,3.200000,5.774436
strong,0.470000,0.558333333333,4.500000,8.059701
hub,0.470000,0.558333333333,3.200000,5.731343
strong,0.475000,0.562500000000,4.500000,8.000000
hub,0.475000,0.562500000000,3.200000,5.688889
strong,0.480000,0.566666666667,4.500000,7.941176
hub,0.480000,0.566666666667,3.200000,5.647059
strong,0.485000,0.570833333333,4.500000,7.883212
hub,0.485000,0.570833333333,3.200000,5.605839
strong,0.490000,0.575000000000,4.500000,7.826087
hub,0.490000,0.575000000000,3.200000,5.565217
strong,0.495000,0.579166666667,4.500000,7.769784
hub,0.495000,0.579166666667,3.200000,5.525180
strong,0.500000,0.583333333333,4.500000,7.714286
hub,0.500000,0.583333333333,3.200000,5.485714
strong,0.505000,0.587500000000,4.500000,7.659574
hub,0.505000,0.587500000000,3.200000,5.446809
strong,0.510000,0.591666666667,4.500000,7.605634
hub,0.510000,0.591666666667,3.200000,5.408451
strong,0.515000,0.595833333333,4.500000,7.552448
hub,0.515000,0.595833333333,3.200000,5.370629
strong,0.520000,0.600000000000,4.500000,7.500000
hub,0.520000,0.600000000000,3.200000,5.333333
strong,0.525000,0.604166666667,4.500000,7.448276
hub,0.525000,0.604166666667,3.200000,5.296552
strong,0.530000,0.608333333333,4.500000,7.397260
hub,0.530000,0.608333333333,3.200000,5.260274
strong,0.535000,0.612500000000,4.500000,7.346939
hub,0.535000,0.612500000000,3.200000,5.224490
strong,0.540000,0.616666666667,4.500000,7.297297
hub,0.540000,0.616666666667,3.200000,5.189189
strong,0.545000,0.620833333333,4.500000,7.248322
hub,0.545000,0.620833333333,3.200000,5.154362
strong,0.550000,0.625000000000,4.500000,7.200000
hub,0.550000,0.625000000000,3.200000,5.120000
strong,0.555000,0.629166666667,4.500000,7.152318
hub,0.555000,0.629166666667,3.200000,5.086093
strong,0.560000,0.633333333333,4.500000,7.105263
hub,0.560000,0.633333333333,3.200000,5.052632
strong,0.565000,0.637500000000,4.500000,7.058824
