model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
hub,0.4000,180,0.000000,0.000000,443.956000
hub,0.4000,181,0.000000,0.000000,443.956000
hub,0.4000,182,0.000000,0.000000,443.956000
hub,0.4000,183,0.000000,0.000000,443.956000
hub,0.4000,184,0.000000,0.000000,443.956000
hub,0.4000,185,0.000000,0.000000,443.956000
hub,0.4000,186,0.000000,0.000000,443.956000
hub,0.4000,187,0.000000,0.000000,443.956000
hub,0.4000,188,0.000000,0.000000,443.956000
hub,0.4000,189,0.000000,0.000000,443.956000
hub,0.4000,190,0.000000,0.000000,443.956000
hub,0.4000,191,0.000000,0.000000,443.956000
hub,0.4000,192,0.000000,0.000000,443.956000
hub,0.4000,193,0.000000,0.000000,443.956000
hub,0.4000,194,0.000000,0.000000,443.956000
hub,0.4000,195,0.000000,0.000000,443.956000
hub,0.4000,196,0.000000,0.000000,443.956000
hub,0.4000,197,0.000000,0.000000,443.956000
hub,0.4000,198,0.000000,0.000000,443.956000
hub,0.4000,199,0.000000,0.000000,443.956000
hub,0.4000,200,0.000000,0.000000,443.956000
normal,0.0000,0,1.000000,1.000000,1.000000
normal,0.0000,1,2.570000,2.570000,3.570000
normal,0.0000,2,3.889000,3.889000,7.459000
normal,0.0000,3,4.165000,4.165000,11.624000
normal,0.0000,4,4.328000,4.328000,15.952000
normal,0.0000,5,4.487000,4.487000,20.439000
normal,0.0000,6,4.428000,4.428000,24.867000
normal,0.0000,7,4.318000,4.318000,29.185000
normal,0.0000,8,4.164000,4.164000,33.349000
normal,0.0000,9,4.046000,4.046000,37.395000
normal,0.0000,10,3.862000,3.862000,41.257000
normal,0.0000,11,3.734000,3.734000,44.991000
normal,0.0000,12,3.601000,3.601000,48.592000
normal,0.0000,13,3.545000,3.545000,52.137000
normal,0.0000,14,3.422000,3.422000,55.559000
normal,0.0000,15,3.294000,3.294000,58.853000
normal,0.0000,16,3.102000,3.102000,61.955000
